userID,fullName,dob,ssn,tel,gender,bloodType,allergies
45492634,Taylor Urman,1952-03-04,008-24-9565,(533) 910-8125,m,B-,Strawberries
45492552,Wes Clutts,1935-09-07,036-42-9376,(215) 542-3772,m,B+,"Eggs, Latex"
45492641,Cherrie Krull,1963-01-28,009-90-6418,(870) 400-8709,f,O-,
45492596,Mae Rezac,1958-06-29,530-69-9482,(925) 210-5906,f,O+,"Dog, Shellfish"
45492640,Silvana Fullenkamp,1952-11-08,535-55-1493,(805) 231-2843,f,AB-,"Tree-nuts, Strawberries, NSAIDs"
45492626,Steven Monterroso,1993-10-26,243-73-6117,(321) 808-0772,m,O-,
45492570,Ronald Brossard,1981-06-06,296-78-3350,(408) 534-9550,m,A-,"NSAIDs, Gluten, Soy, Latex"
45492650,Nelson Wenz,1977-06-29,420-08-4119,(629) 494-2828,m,B-,Nuts
45492582,Titus Ginsberg,1937-09-13,441-07-7359,(270) 675-7674,m,A+,Cat
45492569,Devin Porras,1938-05-06,397-25-1686,(476) 489-7914,m,A-,"Cat, Strawberries, Peanuts"
45492576,Denita Giefer,1937-01-10,445-80-8580,(849) 999-2849,f,A+,
45492615,Kathi Demasi,1999-09-17,520-28-0867,(241) 537-7291,f,AB-,"Soy, Strawberries"
45492564,Edwardo Sites,1924-04-24,691-14-7965,(961) 810-1437,m,O-,Shellfish
45492577,Kurtis Daum,1956-05-12,600-53-8631,(922) 841-3026,m,A-,
45492559,Macy Cornejo,1988-09-30,685-16-3113,(936) 661-2962,f,O-,Gluten
45492588,Milton Ros,1979-12-09,429-30-0917,(718) 203-0584,m,A-,
45492645,Conception Eagles,1983-06-30,579-96-6365,(699) 394-3165,f,O+,"Gluten, Eggs, Tree-nuts, Seasonal, Latex, Soy, NSAIDs, Shellfish, Peanuts"
45492557,Anton Beasley,1950-07-05,387-02-5531,(890) 488-8963,m,AB+,"Eggs, Strawberries"
45492599,Danilo Raber,1987-12-18,151-09-3370,(632) 220-5764,m,B+,"Seasonal, Latex"
